iter	Passed	Remaining
0	73	36834
1	114	28626
2	212	35203
3	302	37539
4	394	39009
5	473	38966
6	559	39427
7	612	37661
8	658	35903
9	747	36648
10	798	35508
11	882	35868
12	967	36236
13	1048	36388
14	1132	36617
15	1209	36594
16	1282	36425
17	1357	36363
18	1447	36651
19	1530	36735
20	1615	36851
21	1700	36954
22	1787	37081
23	1874	37180
24	1960	37245
25	2045	37289
26	2126	37247
27	2209	37247
28	2293	37251
29	2381	37316
30	2468	37341
31	2555	37373
32	2637	37325
33	2724	37345
34	2815	37412
35	2898	37363
36	2992	37446
37	3074	37385
38	3166	37424
39	3254	37427
40	3347	37480
41	3440	37512
42	3536	37584
43	3646	37788
44	3739	37811
45	3828	37788
46	3920	37784
47	4005	37717
48	4089	37636
49	4181	37633
50	4273	37619
51	4366	37622
52	4446	37498
53	4477	36979
54	4568	36962
55	4658	36931
56	4743	36863
57	4840	36885
58	4935	36889
59	5016	36790
60	5114	36810
61	5212	36823
62	5304	36795
63	5392	36734
64	5481	36686
65	5576	36667
66	5663	36602
67	5747	36513
68	5841	36486
69	5927	36414
70	6011	36324
71	6100	36266
72	6186	36189
73	6274	36119
74	6364	36064
75	6450	35987
76	6542	35941
77	6633	35886
78	6733	35883
79	6829	35857
80	6941	35905
81	7044	35910
82	7135	35850
83	7226	35788
84	7317	35727
85	7408	35666
86	7496	35586
87	7584	35506
88	7677	35456
89	7774	35416
90	7866	35354
91	7953	35270
92	8036	35169
93	8120	35075
94	8204	34978
95	8289	34884
96	8378	34807
97	8464	34722
98	8548	34626
99	8635	34541
100	8724	34465
101	8815	34398
102	8893	34277
103	8980	34193
104	9071	34126
105	9153	34022
106	9239	33936
107	9264	33626
108	9350	33541
109	9432	33441
110	9515	33346
111	9605	33275
112	9694	33202
113	9784	33129
114	9869	33041
115	9960	32971
116	10045	32884
117	10145	32845
118	10247	32808
119	10340	32745
120	10420	32638
121	10506	32554
122	10596	32479
123	10641	32266
124	10700	32100
125	10787	32019
126	10873	31936
127	10963	31863
128	11052	31787
129	11147	31727
130	11236	31650
131	11332	31593
132	11418	31507
133	11507	31431
134	11590	31336
135	11678	31256
136	11765	31174
137	11862	31118
138	11946	31026
139	12028	30930
140	12121	30861
141	12208	30780
142	12302	30713
143	12386	30621
144	12475	30542
145	12561	30456
146	12645	30366
147	12730	30277
148	12819	30199
149	12908	30119
150	12992	30028
151	13069	29922
152	13155	29837
153	13250	29770
154	13309	29625
155	13402	29553
156	13502	29498
157	13602	29442
158	13695	29371
159	13802	29329
160	13887	29242
161	13978	29164
162	14066	29082
163	14157	29004
164	14242	28917
165	14336	28845
166	14442	28799
167	14506	28667
168	14540	28478
169	14585	28313
170	14671	28228
171	14725	28080
172	14822	28016
173	14922	27958
174	15019	27894
175	15112	27820
176	15202	27742
177	15297	27672
178	15389	27597
179	15409	27394
180	15510	27335
181	15615	27283
182	15713	27219
183	15740	27032
184	15827	26948
185	15914	26866
186	16000	26782
187	16089	26701
188	16126	26536
189	16209	26446
190	16296	26363
191	16385	26285
192	16472	26201
193	16558	26117
194	16651	26045
195	16749	25978
196	16847	25913
197	16935	25831
198	16973	25673
199	17073	25609
200	17180	25556
201	17276	25487
202	17374	25419
203	17485	25371
204	17581	25299
205	17672	25221
206	17768	25151
207	17868	25084
208	17971	25022
209	18078	24965
210	18180	24901
211	18288	24844
212	18399	24792
213	18511	24740
214	18606	24663
215	18718	24610
216	18818	24541
217	18932	24490
218	19053	24447
219	19182	24413
220	19280	24340
221	19369	24255
222	19460	24172
223	19548	24086
224	19637	24001
225	19728	23918
226	19820	23837
227	19920	23765
228	20026	23699
229	20142	23645
230	20246	23577
231	20343	23500
232	20441	23423
233	20535	23344
234	20635	23269
235	20736	23196
236	20831	23116
237	20915	23024
238	21008	22941
239	21098	22856
240	21189	22772
241	21278	22685
242	21363	22594
243	21459	22514
244	21545	22424
245	21635	22339
246	21720	22248
247	21812	22164
248	21899	22075
249	21989	21989
250	22079	21903
251	22177	21825
252	22267	21739
253	22375	21671
254	22490	21608
255	22596	21536
256	22702	21465
257	22803	21389
258	22907	21315
259	23003	21233
260	23096	21149
261	23183	21060
262	23289	20986
263	23389	20909
264	23480	20822
265	23588	20750
266	23682	20666
267	23776	20582
268	23865	20493
269	23960	20411
270	24056	20327
271	24159	20251
272	24269	20180
273	24364	20096
274	24457	20010
275	24552	19926
276	24645	19841
277	24730	19748
278	24825	19664
279	24918	19578
280	25009	19491
281	25103	19406
282	25190	19315
283	25281	19228
284	25369	19138
285	25463	19053
286	25547	18960
287	25637	18871
288	25723	18780
289	25818	18696
290	25908	18607
291	25990	18513
292	26072	18419
293	26177	18341
294	26274	18258
295	26370	18173
296	26459	18085
297	26556	18001
298	26656	17919
299	26762	17841
300	26863	17759
301	26962	17677
302	27058	17592
303	27149	17504
304	27235	17412
305	27326	17324
306	27419	17237
307	27504	17145
308	27589	17053
309	27672	16960
310	27763	16872
311	27858	16786
312	27944	16695
313	28034	16606
314	28125	16518
315	28215	16429
316	28303	16338
317	28393	16250
318	28483	16161
319	28576	16074
320	28665	15984
321	28757	15896
322	28845	15807
323	28938	15719
324	29024	15628
325	29107	15536
326	29202	15449
327	29303	15366
328	29402	15282
329	29500	15197
330	29598	15112
331	29696	15027
332	29793	14941
333	29906	14863
334	30022	14787
335	30135	14708
336	30245	14629
337	30361	14552
338	30480	14475
339	30588	14394
340	30686	14308
341	30797	14227
342	30891	14139
343	30979	14048
344	31064	13956
345	31155	13866
346	31242	13775
